median_age,Zip Code,total_population,percent_white,percent_black,percent_asian,percent_hispanic,Per Capita Income,median_rent,ALAND10,AWATER10,CITY,AREA
42.4,5001,9376,93,1,2,1,31125,781,111919115,1839887,WHITE RIVER JUNCTION,53.07918
44.8,5032,2935,99,0,0,0,26727,643,181170992,969755,BETHEL,86.33674
44.8,5032,2935,99,0,0,0,26727,643,181170992,969755,BETHEL,86.33674
40.3,5033,2729,97,0,1,0,23173,588,74903227,637456,BRADFORD,31.64849
55.3,5034,213,93,0,0,0,48967,629,14710738,96589,BRIDGEWATER,3.17684
52.2,5035,496,100,0,0,0,32943,855,82722709,206901,BRIDGEWATER CORNERS,35.20509
47.3,5036,959,99,0,0,0,32804,722,86427643,748222,BROOKFIELD,20.93919
45.9,5037,628,99,0,1,0,32053,1675,26948366,130030,BROWNSVILLE,10.39894
46.8,5038,1351,96,0,1,1,27626,678,102661994,124611,CHELSEA,49.91576
48.9,5039,965,97,1,0,0,33299,988,114220640,137928,CORINTH,42.67921
35,5040,565,94,1,0,1,20079,769,27534807,196014,EAST CORINTH,11.0366
15.3,5041,531,100,0,0,0,12148,NA,15234327,7373,EAST RANDOLPH,7.20274
42.7,5042,511,98,0,0,0,24899,738,61643500,311779,EAST RYEGATE,16.23184
45.4,5043,859,97,0,1,0,35993,548,21190867,857135,EAST THETFORD,6.59953
47.6,5045,1905,96,0,1,1,33223,889,133895864,4715925,FAIRLEE,45.41611
43.5,5046,1182,98,0,0,0,24796,269,154846289,3125422,GROTON,57.79562
43.5,5046,1182,98,0,0,0,24796,269,154846289,3125422,GROTON,57.79562
46,5048,2453,96,0,2,0,32227,743,71290323,301832,HARTLAND,27.97333
48.1,5051,1662,97,0,0,1,27824,661,124387213,1861792,NEWBURY,12.94091
45.9,5052,216,100,0,0,0,33494,NA,6718147,426317,NORTH HARTLAND,1.34856
56.1,5053,331,97,0,0,3,39193,875,22614231,51887,NORTH POMFRET,6.17544
41.1,5055,3396,93,1,2,2,49101,1030,106303581,569176,NORWICH,38.50849
