town,type,gross,past_gross,past_use,use
ADDISON,Sales and Use,5414225.7,5608605.8100000005,0.0,0.0
ALBANY,Sales and Use,381182.16,0.0,0.0,0.0
ALBURGH,Meals and Rooms,15458616.47,14108267.51,0.0,0.0
ALBURGH,Meals and Rooms,20744882.68,15458616.47,0.0,0.0
ALBURGH,Sales and Use,21225166.78,15996949.87,0.0,0.0
ARLINGTON,Meals and Rooms,130579773.8,117725543.47,0.0,0.0
ARLINGTON,Meals and Rooms,163815981.43,130565545.50999999,0.0,0.0
ARLINGTON,Sales and Use,166206674.20999998,132433360.74000001,460041.1666666666,400506.8333333337
BARNARD,Sales and Use,229726.22,523526.12,0.0,0.0
BARNET,Sales and Use,6405863.51,6842855.63,0.0,0.0
BARRE TOWN,Meals and Rooms,120950896.36,105087592.97,95683.66666666674,84713.66666666663
BARRE TOWN,Meals and Rooms,109850673.92,120915388.06,84713.66666666663,0.0
BARRE TOWN,Sales and Use,118531864.94,129447128.82,1014446.833333334,908647.6666666664
BARTON,Meals and Rooms,216952741.41,181093612.54,259106.33333333337,547954.8333333334
BARTON,Meals and Rooms,219363902.46,216963273.05,531202.5000000001,848222.3333333327
BARTON,Sales and Use,221381932.67000002,219967553.79,543036.1666666667,862249.1666666663
BENNINGTON,Meals and Rooms,471080291.93,412984182.02,2139493.8333333335,2348331.9999999995
BENNINGTON,Meals and Rooms,478431835.44,456754747.84,2294678.4999999995,1975759.1666666667
BENNINGTON,Sales and Use,515979388.36,493363526.52,2662301.666666666,2309598.4999999995
BENSON,Sales and Use,2550992.56,2943990.5,0.0,0.0
BERLIN,Meals and Rooms,247650360.43,222627407.35999998,1095855.666666667,1498878.1666666667
BERLIN,Meals and Rooms,215428887.49,247751219.59,1171336.3333333335,1206069.6666666667
BERLIN,Sales and Use,217246601.04000002,249672098.76,1281607.1666666665,1368131.333333334
BETHEL,Meals and Rooms,40600394.25,15604356.38,0.0,0.0
BETHEL,Meals and Rooms,38525137.92,40601885.25,0.0,0.0
BETHEL,Sales and Use,59051201.04,59919615.11,945246.0000000005,1126483.166666666
BRADFORD,Meals and Rooms,88482056.88,84983559.52,867189.3333333331,892680.3333333334
BRADFORD,Meals and Rooms,88926272.05,88654135.86,894648.5000000001,1164536.9999999995
BRADFORD,Sales and Use,93896705.96,93534747.69,987079.8333333331,1281280.0
BRANDON,Meals and Rooms,85086833.61,81017243.71,0.0,0.0
BRANDON,Meals and Rooms,90802076.66,84638940.14,0.0,0.0
BRANDON,Sales and Use,98030588.5,108609269.55,608373.6666666663,1244165.5000000002
BRATTLEBORO,Meals and Rooms,477912167.38,496032173.19,5543884.833333334,7503668.833333331
BRATTLEBORO,Meals and Rooms,497809150.93,478379042.24,7503668.833333335,3951958.500000001
BRATTLEBORO,Sales and Use,563483456.5,537100466.47,7683510.833333335,4355049.666666666
BRIDGEWATER,Meals and Rooms,3843621.9899999998,3681793.9,0.0,0.0
BRIDGEWATER,Meals and Rooms,327300.7,1898124.56,0.0,0.0
BRIDGEWATER,Sales and Use,5724734.13,6020118.859999999,0.0,0.0
BRIDPORT,Sales and Use,16993595.4,17795659.5,0.0,0.0
BRIGHTON,Meals and Rooms,6627238.49,6421464.97,0.0,0.0
BRIGHTON,Meals and Rooms,6485075.24,6627238.49,0.0,0.0
BRIGHTON,Sales and Use,7305448.99,6928217.16,0.0,0.0
BRISTOL,Meals and Rooms,59396282.730000004,49926806.19,0.0,0.0
BRISTOL,Meals and Rooms,55744954.79,57951095.18,0.0,0.0
BRISTOL,Sales and Use,65806096.82,66233574.03,745251.8333333333,753364.6666666667
BROOKFIELD,Sales and Use,35899894.0,15649333.83,0.0,0.0
BROWNINGTON,Sales and Use,844566.28,0.0,0.0,0.0
BURKE,Meals and Rooms,10493297.76,9874673.0,0.0,0.0
BURKE,Meals and Rooms,10558046.6,10493652.52,0.0,0.0
BURKE,Sales and Use,12007676.43,11833686.83,0.0,0.0
BURLINGTON,Meals and Rooms,847465316.6999999,998547622.93,7586804.666666666,8414529.333333334
BURLINGTON,Meals and Rooms,849221255.1,850594746.12,8412512.666666666,8868508.833333332
BURLINGTON,Sales and Use,912506775.64,920821738.2,9483024.5,9479851.833333336
CABOT,Sales and Use,989426852.63,915196794.54,0.0,0.0
CALAIS,Sales and Use,1886155.46,2098259.92,0.0,0.0
CAMBRIDGE,Meals and Rooms,55430400.57,52491325.37,0.0,0.0
CAMBRIDGE,Meals and Rooms,52472593.44,55456056.23,0.0,0.0
CAMBRIDGE,Sales and Use,62255318.39,62082928.42,669526.3333333331,761349.333333333
CANAAN,Sales and Use,0.0,1305357.29,0.0,0.0
CASTLETON,Meals and Rooms,54846831.18,84045012.64,0.0,0.0
CASTLETON,Meals and Rooms,54281236.87,54853143.66,0.0,0.0
CASTLETON,Sales and Use,62172584.89,63050673.18,0.0,47430.66666666664
