type,year,month_name,month_num,month_end,town,gross,gross_count,retail,retail_count,use,use_count,past_gross,past_gross_count,past_retail,past_retail_count,past_use,past_use_count,update,time_frame
Meals and Rooms,2018,Jan,1,2018-01-31,ALBURGH,1113989.09,12,268887.27,11,0.0,0,952933.56,12,257360.78,11,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,ARLINGTON,9061150.95,14,351841.5,12,0.0,0,8408935.99,14,349544.37,13,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,BARRE TOWN,8712531.05,27,1358208.86,23,0.0,0,7866977.33,29,1021491.96,26,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,BRISTOL,4802437.55,35,1109965.88,32,0.0,0,3956187.07,27,969696.88,25,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,BURKE,953087.46,14,478729.89,14,0.0,0,1088746.84,14,603241.9,14,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,CAMBRIDGE,4070713.52,35,2513892.65,34,0.0,0,4080647.05,31,2336426.63,30,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,CHESTER,2178475.22,31,532712.46,27,43120.3333333333,10,2403354.63,30,542109.66,26,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,CLARENDON,2831239.41,25,1089143.59,24,0.0,0,2835640.78,25,927512.27,23,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,DANVILLE,510836.74,13,385253.56,13,0.0,0,462353.41,11,354702.98,11,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,DORSET,3489589.98,24,2565268.45,23,0.0,0,3262947.91,19,2327399.19,19,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,DOVER,4864954.67,30,4086163.84,28,0.0,0,5606566.54,28,5071654.51,26,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,ESSEX,35562994.64,167,10106998.76,161,265061.166666667,45,29187074.4,168,9648261.1,157,1382307.33333333,47,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,HARTFORD,24065421.63,114,5807942.33,106,82774.8333333334,36,22411015.86,106,5054425.28,102,131275.0,36,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,HINESBURG,7199717.37,27,1050982.98,25,0.0,0,7123038.42,29,970457.83,27,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,HYDE PARK,2137395.91,20,226490.53,20,0.0,0,1926930.69,18,206104.12,16,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,LUDLOW,11254610.95,39,7222205.08,39,0.0,0,12202721.1,39,8276668.8,39,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,MANCHESTER,30491915.69,143,9267738.7,132,242986.333333333,29,28875871.87,142,9157721.82,135,200842.0,30,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,NEW HAVEN,9656944.68,22,301130.62,20,0.0,0,9154645.1,24,303017.46,22,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,NORWICH,6591146.71,17,741836.89,16,0.0,0,5278693.4,15,521195.33,15,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,POULTNEY,2097249.4,30,605703.04,28,0.0,0,2156777.51,27,577094.68,25,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,ROCHESTER,1320150.96,12,112044.73,12,0.0,0,530289.22,11,0.0,0,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,SOUTH HERO,1355831.16,13,334683.46,13,0.0,0,1148671.11,13,274139.65,12,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,SWANTON,10994135.81,45,1298026.7,42,35552.8333333333,11,7568681.53,44,1289547.85,44,25085.1666666667,10,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,TROY,0.0,0,0.0,0,0.0,0,1432143.51,12,291624.4,12,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,WARREN,3299391.56,23,2747778.44,22,0.0,0,2882043.27,19,2348703.17,18,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,WHITINGHAM,385825.86,11,102003.92,11,0.0,0,0.0,0,0.0,0,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,WILLIAMSTOWN,1094360.35,11,310124.9,11,0.0,0,996913.48,12,301827.87,11,0.0,0,Final,Monthly
Meals and Rooms,2018,Jan,1,2018-01-31,WILMINGTON,5414914.12,36,1835122.0,35,0.0,0,5120633.33,29,1774006.41,28,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,BARRE TOWN,8710658.66,29,1058482.75,26,0.0,0,6785124.9,29,950763.06,27,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,BERLIN,22452306.69,53,4799170.22,50,68914.33333333334,28,18287022.15,50,4573749.19,48,79677.33333333343,26,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,CAMBRIDGE,4361970.68,35,2858939.59,34,0.0,0,4074859.34,31,2665079.94,30,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,CHARLOTTE,776019.67,19,162885.07,14,0.0,0,938095.69,18,148233.02,13,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,CRAFTSBURY,397762.4,13,170103.72,12,0.0,0,318028.05,11,165179.24,11,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,DANVILLE,340241.84,12,287137.07,12,0.0,0,412065.96,12,300643.58,12,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,DERBY,19189125.73,62,4899198.38,57,116319.49999999994,29,16782017.19,54,5015949.26,53,85735.83333333333,27,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,DUMMERSTON,858567.15,10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,ENOSBURG,10155670.98,39,1301547.69,36,34671.000000000065,10,5571139.13,37,1174043.39,36,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,FAIRLEE,692910.91,17,232669.04,14,0.0,0,663253.62,15,196439.8,12,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,HYDE PARK,2712560.89,20,244496.99,18,0.0,0,2408405.66,18,182164.35,15,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,JOHNSON,9880682.71,27,2546171.31,26,0.0,0,9228119.1,29,2174162.93,28,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,KILLINGTON,9448848.33,32,8622426.08,31,0.0,0,9259200.37,31,8327893.57,30,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,LUDLOW,13161744.23,39,9181069.16,39,0.0,0,13242971.42,39,9452473.26,39,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,MIDDLEBURY,25282518.03,118,6191360.55,117,127205.83333333334,36,21707890.81,113,6138469.07,111,93157.33333333333,33,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,MORETOWN,322276.58,10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,NEWBURY,2929099.01,13,193062.39,12,0.0,0,2612226.69,13,166867.47,12,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,NORWICH,5587939.95,17,496282.24,17,0.0,0,4872821.18,16,531645.0,16,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,ROYALTON,3091385.74,22,697986.59,21,0.0,0,2576050.51,21,731842.3,20,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,SHAFTSBURY,4329510.73,11,0.0,0,0.0,0,4340260.61,10,0.0,0,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,SHELBURNE,16191678.59,79,3046441.93,76,95651.83333333324,15,15853512.65,84,2960268.33,76,42215.33333333333,17,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,ST ALBANS,48658349.15,96,3951583.21,93,1148479.1666666663,27,45679166.69,90,3644139.57,88,163830.16666666672,24,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,ST ALBANS TOWN,16295640.5,38,4313534.18,36,75635.3333333333,17,17728965.0,40,4442190.57,37,91175.16666666664,15,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,STOWE,23818656.25,99,15848058.13,97,315599.66666666634,24,18712697.65,93,11127758.17,91,175248.49999999994,20,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,SWANTON,10503443.85,46,1420835.69,45,39685.99999999999,10,7296836.8,44,1239722.77,42,0.0,0,Final,Monthly
Meals and Rooms,2018,Feb,2,2018-02-28,TROY,0.0,0,0.0,0,0.0,0,1358591.54,11,242683.51,11,0.0,0,Final,Monthly
